"movie_id"	"total_comments"	"title"	"date"	"type"	"duration"	"director"	"actors"	"issuing_company"	"official_website"	"expected_rating"	"num_exp_votes"	"actual_rating"	"num_actual_votes"
"5070"	"48"	"Instructions Not Included"	"2014-02-07"	"喜劇、溫馨/家庭"	"未提供"	"歐亨尼奧德伯茲"	"歐亨尼奧德伯茲(Valentin)、Jessica Lindsey"	"宝米數位有限公司"	"http://www.facebook.com/pomifilmhttp://www.pomifilm.com.tw"	"92%"	"144"	"4.3"	"240"
"5071"	"2"	"HAGANAI The Movie - I don't have many friends"	"2014-03-21"	"喜劇"	"1時54分"	"及川拓郎"	"《貞子3D》瀨戶康史、《狗狗當家》北乃紀伊、《模女生死鬥》大谷澪、《男子高校生的日常》高月彩良、神定真央、久保田紗友、《重金搖滾雙面人》山田萌萌香、《男子高校生的日常》栗原類、《漂丿男子漢》渡邊大、《夢十夜》石原良純"	"采昌國際"	"http://beesfactory.pixnet.nethttps://www.facebook.com/ccasiaworld"	"59%"	"182"	"3.8"	"35"
"5072"	"6"	"ONLY GOD FORGIVES"	"2014-02-21"	"劇情、犯罪、懸疑/驚悚"	"1時30分"	"《落日車神》尼可拉溫丁黑(Nicolas Winding Refn)"	"《末路車神》雷恩葛斯林(Ryan Gosling)、《飄洋過海，愛上妳》克莉斯汀史考特湯瑪斯(Kristin Scott Thomas)、《尋找第三顆星》湯姆伯克(Tom Burke)、《醉後大丈夫2》 維塔亞潘斯林加姆(Vithaya Pansringarm)"	"采昌國際"	"http://cciitw.pixnet.nethttps://www.facebook.com/ccindependent"	"83%"	"36"	"3.4"	"22"
"5073"	"80"	"Blended"	"2014-06-20"	"喜劇"	"1時57分"	"法蘭克柯瑞齊"	"亞當山德勒、茱兒芭莉摩、喬爾麥克哈爾、溫蒂麥莉登康薇，凱文尼倫、貝拉松恩、艾瑪傅爾曼、艾莉維亞艾林德、凱爾瑞德席維史坦、布萊克斯登貝肯。"	"美商華納兄弟公司"	"https://www.blendedmovie.com"	"97%"	"202"	"4.6"	"478"
"5074"	"13"	"Golden Chickens"	"2014-01-30"	"劇情、喜劇"	"1時40分"	"鄒凱光"	"吳君如、甄子丹、張家輝、梁家輝、黃秋生、陳奕迅、古天樂、鄭中基、杜德偉、余文樂、蘇永康"	"甲上"	"https://www.facebook.com/GoldenChickenSSS?fref=tshttp://applausetaiwan.pixnet.net/blog"	"93%"	"230"	"3.6"	"118"
"5075"	"15"	"One Minute More"	"2014-05-09"	"劇情"	"1時52分"	"陳慧翎"	"何潤東、張鈞甯、丁春誠、賴佩霞、仕凌"	"安可電影"	"https://www.facebook.com/minutemore"	"95%"	"359"	"4.4"	"174"
